word,lemma,pos,frequency
you,you,PRON,210632
the,the,DET,178145
i,I,PRON,150442
it,it,PRON,136177
's,be,AUX,128473
a,a,DET,115547
what,what,PRON,102793
that,that,PRON,100262
and,and,CCONJ,70497
xxx,xxx,NOUN,69193
do,do,AUX,67484
this,this,PRON,67167
n't,not,PART,64384
is,be,AUX,63407
yeah,yeah,INTJ,59694
in,in,ADP,48516
oh,oh,INTJ,47448
no,no,INTJ,45823
he,he,PRON,45725
we,we,PRON,40657
here,here,ADV,40566
there,there,ADV,39430
to,to,PART,39377
on,on,ADP,39026
okay,okay,INTJ,36714
they,they,PRON,33912
go,go,VERB,32500
can,can,AUX,31796
see,see,VERB,30981
are,be,AUX,30273
your,you,PRON,30123
me,I,PRON,29695
do,do,VERB,28511
that,that,SCONJ,28249
did,do,AUX,27941
where,where,ADV,26968
put,put,VERB,26921
're,be,AUX,26238
my,my,PRON,26229
this,this,DET,24616
know,know,VERB,24199
have,have,VERB,24143
get,get,VERB,23127
going,go,VERB,22954
with,with,ADP,22495
to,to,ADP,21935
of,of,ADP,21212
one,one,NUM,20947
not,not,PART,20925
for,for,ADP,20524
now,now,ADV,20452
look,look,VERB,20286
want,want,VERB,19981
she,she,PRON,19043
let,let,VERB,18560
that,that,DET,18358
'm,be,AUX,17951
was,be,AUX,17451
there,there,PRON,17376
at,at,ADP,17293
'll,will,AUX,17146
think,think,VERB,16944
some,some,DET,16682
how,how,ADV,16382
up,up,ADP,15974
gonna,gonna,PART,15917
little,little,ADJ,15756
's,'s,PART,15612
one,one,NOUN,15556
does,do,AUX,15085
why,why,ADV,14764
right,right,ADV,14649
just,just,ADV,14370
them,they,PRON,14293
all,all,DET,14141
yes,yes,INTJ,14038
be,be,AUX,13770
good,good,ADJ,13676
like,like,ADP,13641
come,come,VERB,13117
so,so,ADV,12986
huh,huh,INTJ,12936
then,then,ADV,12815
got,get,VERB,12541
who,who,PRON,12472
well,well,INTJ,12343
too,too,ADV,12153
but,but,CCONJ,12079
make,make,VERB,11939
's,we,PRON,11729
right,right,ADJ,11606
him,he,PRON,11344
like,like,VERB,11113
mommy,Mommy,PROPN,11040
's,be,VERB,11007
if,if,SCONJ,10947
uh,uh,INTJ,10935
when,when,ADV,10815
her,she,PRON,10627
wanna,wanna,AUX,10505
his,he,PRON,10330
more,more,ADJ,10288
big,big,ADJ,10204
take,take,VERB,10180
baby,baby,NOUN,9982
um,um,INTJ,9963
out,out,ADP,9767
play,play,VERB,9659
two,two,NUM,9639
say,say,VERB,8814
back,back,ADV,8290
would,would,AUX,8287
eat,eat,VERB,8188
no,no,DET,8093
mhm,mhm,INTJ,7957
down,down,ADV,7893
doing,do,VERB,7734
uhhuh,uhhuh,INTJ,7669
car,car,NOUN,7471
what,what,DET,7414
these,this,DET,7303
could,could,AUX,7082
an,a,DET,7002
or,or,CCONJ,6965
another,another,DET,6911
hm,hm,PROPN,6864
will,will,AUX,6805
other,other,ADJ,6777
tell,tell,VERB,6762
those,that,PRON,6666
can't,can't,AUX,6597
up,up,ADV,6468
because,because,SCONJ,6311
off,off,ADP,6266
www,www,PROPN,6200
house,house,NOUN,6178
hey,hey,INTJ,6125
wanna,wanna,X,6116
okay,okay,ADJ,6043
were,be,AUX,6004
daddy,Daddy,PROPN,5998
kind,kind,NOUN,5908
over,over,ADP,5848
these,this,PRON,5821
very,very,ADV,5806
down,down,ADP,5693
mom,mom,NOUN,5626
book,book,NOUN,5596
goes,go,VERB,5591
yyy,yyy,NOUN,5576
said,say,VERB,5532
give,give,VERB,5490
in,in,ADV,5380
mommy,mommy,NOUN,5374
time,time,NOUN,5266
need,need,VERB,5209
sit,sit,VERB,5184
thing,thing,NOUN,5173
way,way,NOUN,5126
out,out,ADV,5112
about,about,ADP,5068
really,really,ADV,5049
maybe,maybe,ADV,5007
hafta,hafta,AUX,4827
again,again,ADV,4732
nice,nice,ADJ,4581
wanna,wanna,ADV,4502
read,read,VERB,4427
should,should,AUX,4357
ball,ball,NOUN,4301
alright,alright,INTJ,4298
any,any,DET,4290
hi,hi,INTJ,4193
three,three,NUM,4181
water,water,NOUN,4177
remember,remember,VERB,4145
away,away,ADV,4130
name,name,NOUN,4099
things,thing,NOUN,4061
on,on,ADV,4047
went,go,VERB,4040
turn,turn,VERB,4037
something,something,PRON,4005
people,people,NOUN,3983
from,from,ADP,3969
milk,milk,NOUN,3943
over,over,ADV,3943
has,have,VERB,3939
boy,boy,NOUN,3934
those,that,DET,3844
try,try,VERB,3833
ah,ah,INTJ,3815
the,the,PUNCT,3800
laura,Laura,PROPN,3734
wait,wait,VERB,3732
had,have,VERB,3629
watch,watch,VERB,3619
show,show,VERB,3608
dog,dog,NOUN,3562
find,find,VERB,3547
have,have,AUX,3524
yep,yep,INTJ,3523
girl,girl,NOUN,3511
xxx,xxx,VERB,3493
school,school,NOUN,3484
bed,bed,NOUN,3466
all,all,ADV,3438
box,box,NOUN,3438
looks,look,VERB,3247
made,make,VERB,3242
mean,mean,VERB,3239
mine,mine,PRON,3237
man,man,NOUN,3232
red,red,ADJ,3211
chair,chair,NOUN,3166
happened,happen,VERB,3154
mama,mama,NOUN,3132
toys,toy,NOUN,3117
else,else,ADJ,3112
did,do,VERB,3101
juice,juice,NOUN,3066
help,help,VERB,2984
ross,Ross,PROPN,2962
color,color,NOUN,2939
'd,would,AUX,2909
cat,cat,NOUN,2909
joanna,Joanna,PROPN,2902
truck,truck,NOUN,2894
today,today,NOUN,2884
hold,hold,VERB,2882
sure,sure,ADJ,2868
four,four,NUM,2849
've,have,AUX,2833
please,please,INTJ,2800
head,head,NOUN,2790
talk,talk,VERB,2739
blue,blue,ADJ,2736
mark,Mark,PROPN,2691
table,table,NOUN,2664
paper,paper,NOUN,2663
wo,will,AUX,2658
yup,yup,INTJ,2649
ready,ready,ADJ,2647
first,first,ADV,2637
else,else,ADV,2629
hair,hair,NOUN,2617
open,open,VERB,2616
use,use,VERB,2614
came,come,VERB,2614
around,around,ADV,2580
our,we,PRON,2569
wanna,wanna,INTJ,2552
bring,bring,VERB,2541
thank_you,thank_you,PROPN,2536
honey,honey,NOUN,2488
us,we,PRON,2463
dad,dad,NOUN,2442
says,say,VERB,2439
five,five,NUM,2425
hat,hat,NOUN,2412
daddy,daddy,NOUN,2389
something,something,NOUN,2368
it's,it,PRON,2366
hello,hello,INTJ,2361
room,room,NOUN,2354
by,by,ADP,2350
mouth,mouth,NOUN,2350
gotta,go,AUX,2332
fell,fall,VERB,2325
hand,hand,NOUN,2322
many,many,ADJ,2317
door,door,NOUN,2313
new,new,ADJ,2311
bad,bad,ADJ,2301
hear,hear,VERB,2286
their,they,PRON,2279
write,write,VERB,2278
draw,draw,VERB,2278
funny,funny,ADJ,2222
picture,picture,NOUN,2222
green,green,ADJ,2204
into,into,ADP,2197
pretty,pretty,ADV,2196
hurt,hurt,VERB,2188
train,train,NOUN,2175
top,top,NOUN,2164
cup,cup,NOUN,2158
fall,fall,VERB,2147
fish,fish,NOUN,2137
day,day,NOUN,2136
push,push,VERB,2133
saw,see,VERB,2128
cookie,cookie,NOUN,2127
called,call,VERB,2120
horse,horse,NOUN,2098
call,call,VERB,2091
still,still,ADV,2089
kitty,kitty,NOUN,2081
thought,think,VERB,2077
like,like,INTJ,2065
eyes,eye,NOUN,2064
coffee,coffee,NOUN,2060
drink,drink,VERB,2048
home,home,NOUN,2039
money,money,NOUN,2032
which,which,DET,2031
story,story,NOUN,2029
throw,throw,VERB,2025
wow,wow,INTJ,2014
done,do,VERB,2010
go,go,NOUN,2001
minute,minute,NOUN,1993
hot,hot,ADJ,1976
anything,anything,PRON,1975
off,off,ADV,1973
yellow,yellow,ADJ,1970
food,food,NOUN,1965
keep,keep,VERB,1961
real,real,ADJ,1956
sarah,Sarah,PROPN,1950
part,part,NOUN,1949
ya,ya,PRON,1949
gonna,gonna,ADV,1943
stay,stay,VERB,1943
wants,want,VERB,1939
-,-,PUNCT,1939
stuff,stuff,NOUN,1935
_of,_of,ADP,1931
adam,Adam,PROPN,1917
together,together,ADV,1915
fix,fix,VERB,1906
nose,nose,NOUN,1902
mm,mm,INTJ,1896
piece,piece,NOUN,1893
like,like,SCONJ,1878
guy,guy,NOUN,1874
might,might,AUX,1869
mm,mm,PROPN,1868
better,good,ADJ,1859
tape,tape,NOUN,1849
making,make,VERB,1846
bit,bit,NOUN,1835
pick,pick,VERB,1831
marky,Marky,PROPN,1830
night,night,NOUN,1823
birthday,birthday,NOUN,1817
only,only,ADV,1807
bear,bear,NOUN,1793
comes,come,VERB,1787
playing,play,VERB,1781
duck,duck,NOUN,1780
last,last,ADJ,1740
buy,buy,VERB,1731
apple,apple,NOUN,1730
old,old,ADJ,1717
shall,shall,AUX,1711
animals,animal,NOUN,1694
