,0
0,What was that?
1,"Are you ready, buddy?"
2,Where did everybody go?
3,What have I got?
4,What's this?
5,What was that noise?
6,"Oh, my goodness."
7,Oh.
8,Oh.
9,"Oh, no, you got it."
10,"Well, what have you got?"
11,Are you playing with the buttons on top the buttons?
12,Oh.
13,"Oh, thank you."
14,"We, we, we, we, we, we, we, we, we, we, the sirens."
15,"Oh, watch these wheels."
16,"Oh, watch this."
17,You pull it backwards and then it goes forwards.
18,No.
19,"Uh, you ready to go?"
20,Amber?
21,"You like this toy, huh?"
22,"Oh, look at him."
23,Go.
24,"Oh, my goodness."
25,Here comes the red fire truck.
26,You got it.
27,"Oh, no."
28,Are you trying to go off the table?
29,I can't believe it.
30,No 1.
31,"Oh, my goodness."
32,I hope.
33,Mm.
34,Oh.
35,"Oh, my goodness."
36,Wow.
37,"It's so noisy, isn't it?"
38,The sirens?
39,"Oh, wow."
40,He goes zoom so fast.
41,Here.
42,Is this?
43,I'm gonna pull it back.
44,Let it go.
45,Oh.
46,Oh.
47,"Oh, you got snow."
48,That one wheel is a little wily wobbly.
49,What are you doing?
50,Don't eat that fire truck.
51,You silly.
52,"Oh, no."
53,"Well, these wheels are really wobbly wobbly, you know that."
54,Look at that here.
55,We go.
56,Oh.
57,"Oh, no, I got your hand."
58,He ran over your hand.
59,I don't believe it.
60,Emergency.
61,Better.
62,Send the ambulance.
63,"Oh, no."
64,"Uh, oh my, my, that's the horn."
65,He pulls a horn on.
66,Makes a big loud sound to get.
67,"Oh, no."
68,Get everybody out of the way and the lights start flashing.
69,There he goes.
70,Can you imagine the lights flashing?
71,Just like when we see them on the road?
72,The real trucks?
73,"Oh, my goodness."
74,Yeah.
75,Here he goes.
76,"Oh no, he ran away from you."
77,Here you go.
78,"Oh, he's going to go around the table big left turn."
79,"Oh, it stopped."
80,So as we can.
81,Ok. Oops.
82,Uh Oh.
83,"Oh, look what we got here."
84,What happens when we push that one?
85,"Oh, nothing."
86,But it makes a beat.
87,It makes a click sound.
88,Clicky.
89,That's the carpet.
90,"Oh, here it's a flag to know what this is."
91,This is our tree house and there's a light switch on the side here right here.
92,Do you see the light switch?
93,"Oh, my goodness."
94,"Click, click, click, click, click on, click off or?"
95,"Hey, I'm looking at you through the window."
96,"Hey, you what's going on in there?"
97,I hear the clicky sounds.
98,Oh my goodness.
99,Wow.
100,There's so many things.
101,What I heard that.
102,What was that?
103,You know what that was?
104,That was either George or Pepa.
105,"If you want to jump in muddy puddles, you must wear your boots."
106,"Did you remember your boots today, buddy?"
107,I bet you this guy did.
108,I'm gonna climb up there.
109,That.
110,"Oh, yeah, that's, that's the flag."
111,Wow.
112,Look at that.
113,He goes around and around and around.
114,Mhm.
115,"Yeah, that's the pepper pig flag."
116,Or maybe that's the big family flag.
117,What do you think?
118,It's pink?
119,Just like the piggies?
120,"Oh, my goodness."
121,How do you make it?
122,Make noise?
123,"And I can't seriously, dude, click, click, click, click this."
124,Yeah.
125,"Oh, got you."
126,"Oh, I got you."
127,I remember.
128,"Oh, here goes my finger."
129,Are you gonna get me?
130,Are you gonna get me a little?
131,I don't know.
132,"Oh, I'm gonna get you."
133,"Oh, I got you."
134,"Oh, guys sneaking through the window."
135,Here's the window.
136,Oh my goodness.
137,Mhm.
138,"Uh Next, next group."
139,"Ok. Yeah, sure."
140,"Should we continue with, um, 11 toy or do the two together, one toy?"
141,"Ok. Ah, do, do, do, do, do, do, do here comes the big elephant."
142,"Yeah, we'll put him there for now."
143,OK. Look at these great big ears.
144,"Uh oh, he's got big ears."
145,"Oh, you like that toy a lot, huh?"
146,"Here, I'm gonna put this down here."
147,OK. Ok. Really?
148,OK. You really wanna play this one too?
149,"Do you think the elephant, the elephant goes really well in there, doesn't he?"
150,Is that like the elephants tree house is the 11 too big for that here.
151,I'll hold it.
152,Yeah.
153,Oh my goodness.
154,I see.
155,"Oh, my goodness."
156,"Well, that's just crazy here."
157,Can I show you something with the elephant?
158,He's gonna look at you through the window?
159,"Oh, yeah, I'm gonna get through the window."
160,Hi there.
161,I should we make the elephant look through the window?
162,See the elephant look through the window here.
163,I'll turn it around and now you can look through the window at me.
164,"Oh, you want it the other way?"
165,"Oh, ok."
166,I see.
167,"Oh, my goodness."
168,Wow.
169,Did you know that's supposed to be a piggy tree house?
170,And piggies are a lot smaller than elephants?
171,That elephant is too big for?
172,"Oh, I got it."
173,I got it.
174,You put it where you want it and then I'll hold it for you.
175,"Ok, I got it."
176,Yeah.
177,Wow.
178,He's so big.
179,Ouch.
180,I looked through the window at you to elephant.
181,Ok.
182,"I think we better put this one away for now, don't you think so?"
183,I'm happy and love and with great big ears and what she do look at my big feet.
184,"I got 1234, big feet."
185,How many toes on each foot?
186,Let's see.
187,1234.
188,Yeah.
189,1234 toes and 123412341234.
190,"Oh, that's his trunk."
191,All his big tusks.
192,Yeah.
193,"Ah, what did you do to me?"
194,What are you doing over here?
195,"Hey, you know what I've got, I got spots you like my spots?"
196,"Hey, do you see something over there?"
197,Big elephant?
198,one elephant went out to play upon a spider's web one day.
199,He had such enormous fun.
200,He called for another elephant to come.
201,"Ok. Oh, what's this?"
202,"Oh, let's put this guy over here pretzel."
203,Hm.
204,"I, I, where did it go?"
205,Here it is.
206,Do you wanna see the pretzel?
207,Is it all gone?
208,"Oh, he, he came back, um."
209,"oh, it's all gone."
210,Wait a minute.
211,Here it is.
212,I see you.
213,Oh oh no.
214,Oh no.
215,Don't know.
216,And put it in your mouth for real.
217,Don't put it in your mouth for real.
218,"Oh, thank you."
219,Mhm.
220,Oh It's a Zumer pretzel.
221,"What a spin wo wo spinny, spinny Zoom."
222,Oh Good.
223,Push.
224,I'll push it to you now.
225,Push spin.
226,Oh Thank you.
227,And uh push it to you.
228,Do you know who really likes pretzels?
229,Go?
230,Loves to eat pretzels.
231,Yes he does.
232,"Oh, thank you."
233,Here it comes to you.
234,You're gonna give it back.
235,"Oh, thank you."
236,Here you go.
237,Can you push it back to me now?
238,Are you gonna push it back?
239,"Push, push, push."
240,Oh Thank you.
241,Room.
242,"Oh, are you eating pretzel or your thumb?"
243,"I gotta look at you, Peter."
244,"Oh oh, now I see both your eyes."
245,Oh oh He's got it.
246,"Oh no, there you are."
247,Oh Wow.
248,Really?
249,Why's this?
250,I'm gonna do a spin.
251,"Oh, you scared me?"
252,Oh.
253,Uh-oh.
254,"Uh, boom, boom."
255,"Oh, my goodness."
256,"Oh, really?"
257,Oh.
258,Oh.
259,"Feel like you need a break, I think."
260,"Ok, I, I, I'm all right."
261,Ok. Let's see.
262,What have we got here?
263,I found a monkey wrench.
264,Do you know what you use a monkey wrench for?
265,Uh?
266,Oh.
267,"Oh, no."
268,My finger.
269,Can you fix my finger for me?
270,"Oh, we're gonna do that again as well."
271,Hi there.
272,Uh.
273,Oh.
274,"Oh, no."
275,On my nose.
276,"Oh, no."
277,"Better loosen it, loosen it."
278,"Oh, there we go."
279,That's better.
280,That's better.
281,It was tight on my.
282,"Oh, no, it squished your mouth closed."
283,Um.
284,"Oh, you better not eat that."
285,"Oh, you found a hole?"
286,I hope you don't get your finger stuck.
287,Uh.
288,"Oh, are you, did you get your finger stuck?"
289,"We, yeah, we better not do that again, huh?"
290,Do you want this one instead?
291,"Hello, Keith."
292,I don't know what my name is.
293,What should we call her?
294,What do you think her name is?
295,Let's see if it's on her shoes.
296,Nope.
297,Uh.
298,"Oh, there it is."
299,I don't think that's her name.
300,I think that's the toy company.
301,Yeah.
302,No.
303,Mhm.
304,"Do, do, do, do, do, maybe we can just call her Mimi."
305,What do you think?
306,Me?
307,Yeah.
308,Yeah.
309,"Hi, Keith."
310,You know what I wanna do?
311,"I feel like dancing, dancing."
312,"Oh, yeah."
313,She's dancing.
314,Do you want to make her dance?
315,Oh.
316,"Oh, no, no."
317,"Oh, that's ok. Do you think we can make this stand up?"
318,"I don't, I don't know."
319,Do you need me to get that for you?
320,OK. Let me get that for you.
321,I can't believe you dropped that toy.
322,"Oh oh, dancing on your head."
323,Here we go.
324,Here she is.
325,She's walking towards you.
326,"Walkie, walkie, walkie, walkie, walkie, walkie, walkie, walk, walk, walk, walk."
327,"Well, that's a jump, jump, jump, jump, jump, jump."
328,"Hey, dude."
329,Did you get this stuck on your finger again?
330,Oh.
331,"Oh, good."
332,We better take this away.
333,You're gonna get your finger stuck.
334,"Oh, that, that, yeah."
335,How fast can I run all the way around the?
336,"Oh no, around the table."
337,Ouch.
338,You dropped me.
339,"Ok, sir."
340,"Um, the blue truck."
341,"Oh, yeah, you're pushing the, if you push the yellow button and it makes the truck go."
342,Here he goes.
343,"R R r do those buttons, do anything."
344,"No, they don't do anything."
345,"Oh, yeah, you found the orange buttons, didn't you?"
346,What are you gonna do with us?
347,"They don't do anything, do they?"
348,"They don't do anything, do they?"
349,That's ok. You know why he needs more battery?
350,"Oh, wow."
351,Oh.
352,Uh.
353,Oh.
354,Mhm.
355,Morning.
356,That looks like a happy truck.
357,Do you see his big smile?
358,He's got a big smile right on his bumper.
359,Hm.
360,Oh my goodness.
361,Do do do here he comes.
362,"Yeah, that's the, that's the back of his truck where he carries stuff all your, all your, you're playing with the buttons again, huh?"
363,I see.
364,Are the buttons doing anything at all?
365,Oh.
366,Mm.
367,"Going around the court, going around the table, going around the table?"
368,"Oh, across the table."
369,"I'm coming back across, across, yeah, across the table."
370,You know what?
371,I wanna go around the table.
372,Big turn.
373,You got him?
374,Hm.
375,Hm.
376,Oh my goodness.
377,What are you doing to that dad?
378,"Oh, you're really trying to make those buttons work?"
379,I see.
380,"Oh, ok. Do you think we can use this to fix the buttons?"
381,"Bang, bang, bang, bang."
382,Here is the truck.
383,Here's the hammer.
384,Do you think the hammer will fix it?
385,Did you fix it?
386,Let's see.
387,Not yet.
388,Not yet.
