,0
0,_compressedForASLSignbank
1,akimbo
2,bang
3,claps
4,clasp
5,grab
6,reach
7,show
8,sigh
9,stomp
10,tap
11,wave
12,'S
13,ABHOR
14,ABOUTb
15,ABOUTix
16,ACCENT
17,ACCEPT
18,ACCESS
19,ACCIDENT
20,ACQUIRE
21,ACT
22,ACTION
23,ACTIVITY
24,ACTOR
25,ADD
26,ADDICT
27,ADDRESS
28,ADMIRE
29,ADMIT
30,ADOPT
31,ADULT
32,AFRICA
33,AFTER
34,AGAIN
35,AGAINST
36,AGE
37,AGENCY
38,AHEM
39,AIRPLANE
40,ALARM
41,ALASKA
42,ALBANIA
43,ALCOHOL
44,ALIGN
45,ALL-DAY
46,ALL-GONE
47,ALL-OVER
48,ALL-WAY
49,ALL
50,ALLOWb
51,ALLOWl
52,ALLOWp
53,ALLRIGHT
54,ALMOST
55,ALONE
56,ALPHABET
57,ALSO
58,ALUMNIa
59,ALUMNIw
60,ALWAYS
61,AM
62,AMAZING
63,AMERICA
64,ANALYZE
65,ANDasym
66,ANDsym
67,ANGEL
68,ANGRY
69,ANIMAL
70,ANNOTATE
71,ANNOUNCE
72,ANSWER
73,ANY
74,ANYONE
75,APART
76,APPEAR
77,APPLEa
78,APPLEck
79,APPLEx
80,APPROACH
81,ARE
82,AREA
83,ARGUE
84,ARIZONA
85,ARM
86,ARMS
87,ARMY
88,ARREST
89,ARRIVE
90,ART
91,ARTICLE
92,ASIA
93,ASKix
94,ASKonex
95,ASSEMBLY
96,ASSIGN
97,ASSIST
98,AT
99,ATHLETE
100,ATTITUDE
101,AUDIENCE
102,AUNTstr
103,AUSTRIA
104,AUTISM
105,AUTUMN
106,AVERAGE
107,AVOIDa
108,AWAKE
109,AWAY
110,AWFUL
111,AWKWARD
112,BABY
113,BABYch
114,BACK-OF
115,BACK
116,BACON
117,BAD
118,BAG
119,BAKE
120,BALD
121,BALL
122,BALLOON5
123,BANANAix
124,BANDAGE
125,BANDAID
126,BANTER
127,BAPTIST
128,BAR
129,BARELY
130,BARK
131,BASEMENT
132,BASIC
133,BASS
134,BATH
135,BATHROOM
136,BATtap
137,BATTERY
138,BAWL-OUT
139,BAWL
140,BE-READY
141,BE-SAME
142,BE
143,BEACHarm
144,BEACHb
145,BEACHwig
146,BEAR
147,BEARD
148,BEAT
149,BECAUSEb
150,BECKON
151,BECOME
152,BEDbk
153,BEDpa
154,BEDROOM
155,BEDsym
156,BEEck
157,BEER
158,BEEstr
159,BEFORE
160,BEG
161,BEHAVIOR
162,BEHIND
163,BELGIUM
164,BELIEVEb
165,BELONG
166,BELTBAND
167,BENEFIT
168,BERRY
169,BET
170,BETTER
171,BETWEEN
172,BICYCLE
173,BIG-SIZE
174,BIGb
175,BIGix
176,BIOLOGY
177,BIRD
178,BIRTH
179,BIRTHDAY
180,BISCUIT
181,BITCH
182,BITE
183,BITTER
184,BLACK
185,BLADE
186,BLAME
187,BLANK
188,BLANKETb
189,BLESS
190,BLIND
191,BLING
192,BLONDix
193,BLOOD
194,BLOUSE
195,BLOW
196,BLUE
197,BLUR
198,BLUSH
199,BOARDb
200,BOARDbd
201,BOAT
202,BODY
203,BOLIVIA
204,BONE
205,BONG
206,BOOK
207,BOOTS
208,BORDER
209,BORED
210,BORNb
211,BORNs
212,BORROW
213,BOSS
214,BOSSMAN
215,BOSTON
216,BOTH
217,BOTHER
218,BOTTLE
219,BOTTOM
220,BOW-DOWN
221,BOWL
222,BOWTIE
223,BOX-EAR
224,BOX
225,BOY
226,BRA
227,BRACELET
228,BRAGa
229,BRAGy
230,BRAILLE
231,BRAVE
232,BRAZIL
233,BREAK
234,BREATHE
235,BRICK
236,BRIDGE
237,BRING
238,BROCCOLI
239,BROTHERl
240,BROWN
241,BUBBLES
242,BUFFALO
243,BUG
244,BUILD
245,BUILDING
246,BUM
247,BURPb
248,BURPix
249,BUS
250,BUSTED
251,BUSY
252,BUT
253,BUTTER
254,BUTTON
255,BUY
256,BYE-BYE
257,CABINET
258,CAJOLE
259,CAKEdown
260,CAKEup
261,CALENDAR
262,CALL-TTY
263,CALL
264,CAMEL
265,CAMERA
266,CAMPING
267,CAN
268,CANADA
269,CANDLE
270,CANDYh
271,CANNED
272,CANNOT
273,CANOE
274,CAPTION
275,CAPTURE
276,CAR
277,CARD
278,CARDS
279,CAREFUL
280,CARRY
281,CARTOON
282,CASTLE
283,CASUAL
284,CAT8
285,CATCH5
286,CATCHs
287,CATEGORY
288,CATf
289,CATg
290,CATHOLIC
291,CAUGHT
292,CAUSE
293,CEILING
294,CEMETERY
295,CENT
296,CENTER
297,CEREAL
298,CHAIN
299,CHAIR
300,CHAMPION
301,CHANCE
302,CHANGEa
303,CHANGEx
304,CHANNEL
305,CHARGE
306,CHASE
307,CHATsym
308,CHEAP
309,CHEAT
310,CHECK
311,CHEESE
312,CHERISH
313,CHERRY
314,CHEW
315,CHICAGO
316,CHIEF
317,CHILD
318,CHILDREN
319,CHILE
320,CHILL
321,CHINA
322,CHINESE
323,CHOP
324,CHURCH
325,CIGAR
326,CIRCLE
327,CIRCUS
328,CITYtap
329,CLASS
330,CLEAN
331,CLEAR
332,CLIENT
333,CLIMATE
334,CLOCK
335,CLOSE-UP
336,CLOSE
337,CLOSETc
338,CLOSETx
339,CLOTHES
340,CLOWNtap
341,COACH
342,COCONUT
343,COFFEE
344,COIN
345,COINS
346,COLD
347,COLLEGE
348,COLOR
349,COMB
350,COME-ON
351,COMEroll
352,COMEstr
353,COMMA
354,COMMAND
355,COMMUTE
356,COMPARE
357,COMPASS
358,CONCEPT
359,CONCERN
360,CONFLICT
361,CONFUSED
362,CONNECT
363,CONSUME
364,CONTACT
365,COOK
366,COOKIE
367,COOKING
368,COOLbo
369,COOLf
370,COPY
371,CORN5
372,CORNER
373,CORNix
374,CORPUS
375,CORRECT
376,COUGH
377,COUNSEL
378,COUNT
379,COUSIN
380,COVER-UP
381,COVER
382,COW
383,CRACK-UP
384,CRACK
385,CRACKER
386,CRANKY
387,CRAVE
388,CRAWL
389,CRAZYix
390,CREATE
391,CROATIA
392,CROSS
393,CROWN
394,CRY
395,CUBA
396,CUP
397,CURSE
398,CURTAIN
399,CUTE
400,DAILY
401,DANCE
402,DANCER
403,DARKb
404,DARKclaw
405,DART
406,DATE
407,DAUGHTER
408,DAY
409,DEAFb
410,DEAFix
411,DECIDEix
412,DECORATE
413,DEEP
414,DEFLATE
415,DEGREE
416,DELEGATE
417,DENMARK
418,DENT
419,DENTIST
420,DENY
421,DEPART
422,DEPEND
423,DESERT
424,DESIGN
425,DESIRE
426,DESSERT
427,DESTROY
428,DEVELOPb
429,DEVELOPd
430,DEVIL
431,DIAPER
432,DICE
433,DIEalt
434,DILEMMA
435,DINNER
436,DIRTY
437,DISCUSS
438,DISEASE
439,DISMISS
440,DISNEY
441,DISPUTE
442,DISSOLVE
443,DIVE
444,DIVERGE
445,DIVERSE
446,DIVERT
447,DIVIDE
448,DIVORCE
449,DIZZY
450,DO-DO
451,DO-NOT
452,DOCTORb
453,DOCTORd
454,DOCUMENT
455,DOG-NOSE
456,DOGslap
457,DOGsnap
458,DOLL
459,DOLLAR
460,DOLPHINd
461,DOLPHINr
462,DOMINANT
463,DON'T
464,DONKEY
465,DONUTmo
466,DOORb
467,DOORs
468,DOUBLE
469,DOUBT
470,DOUGHNUT
471,DOWN
472,DOWNHILL
473,DOWNLOAD
474,DOWNTOWN
475,DRAW
476,DRAWER
477,DREAMd
478,DREAMix
479,DRESS-UP
480,DRESS
481,DRESSER
482,DRILL
483,DRINKc
484,DRINKy
485,DRIVEpro
486,DRIVER
487,DRIVEsup
488,DROOL
489,DROP
490,DROWNs
491,DROWNth
